name,status,keypoints
Image_1.jpg,sitting,"[[[[0.33364123 0.37497622 0.7457769 ]
   [0.2917965  0.41149133 0.8516793 ]
   [0.29485962 0.35516724 0.84753025]
   [0.28908712 0.48775715 0.87896055]
   [0.28936446 0.3572078  0.6888108 ]
   [0.4619304  0.5886125  0.8546012 ]
   [0.40387592 0.275291   0.8405092 ]
   [0.7773097  0.5609529  0.86738616]
   [0.61966264 0.22481528 0.86738527]
   [0.80120623 0.36224663 0.8580684 ]
   [0.6680791  0.20098199 0.6835204 ]
   [0.8281661  0.436241   0.27523863]
   [0.7901731  0.25375265 0.44590804]
   [0.8197583  0.33812076 0.05655867]
   [0.78084874 0.02565055 0.38739246]
   [0.8104522  0.15725899 0.05240202]
   [0.8047191  0.01585891 0.0378063 ]]]]"
Image_10005.jpg,sitting,"[[[[0.21137007 0.30594978 0.3183812 ]
   [0.19423386 0.27259177 0.5292593 ]
   [0.19115771 0.27017462 0.46693286]
   [0.19143616 0.23356456 0.4421893 ]
   [0.18864422 0.21443169 0.47808847]
   [0.28036103 0.23285969 0.43617424]
   [0.27866128 0.18416557 0.7931969 ]
   [0.37454954 0.31809676 0.42317817]
   [0.3831613  0.29748294 0.7204277 ]
   [0.39562804 0.43871772 0.55389696]
   [0.41274515 0.4161822  0.35241437]
   [0.5078874  0.24549508 0.34614182]
   [0.51940876 0.19245605 0.55034983]
   [0.5412828  0.3792581  0.4315787 ]
   [0.5430885  0.38826257 0.5055853 ]
   [0.702042   0.32587928 0.35837075]
   [0.7119036  0.32473177 0.6516604 ]]]]"
Image_10012.jpg,sitting,"[[[[0.52972406 0.59848297 0.64693785]
   [0.5143218  0.61507845 0.73264176]
   [0.5185261  0.5946338  0.50468075]
   [0.51360226 0.65185326 0.4553147 ]
   [0.51906025 0.6096919  0.36692035]
   [0.5818605  0.6607143  0.7620958 ]
   [0.5798292  0.62014604 0.60246724]
   [0.7235298  0.5988844  0.31383586]
   [0.6753379  0.5788738  0.53848046]
   [0.7358159  0.49098817 0.2635352 ]
   [0.7126359  0.5098591  0.32155722]
   [0.7763948  0.62843955 0.5409342 ]
   [0.7523132  0.60459507 0.59117496]
   [0.78269905 0.44037253 0.3856692 ]
   [0.6868038  0.4929707  0.2597862 ]
   [0.7905603  0.44379213 0.21868351]
   [0.76958567 0.44598496 0.22724304]]]]"
Image_1002.jpg,sleeping,"[[[[0.40297922 0.48212966 0.23498732]
   [0.29972807 0.52019334 0.79621154]
   [0.3213939  0.45496976 0.49152038]
   [0.22512607 0.68731815 0.726086  ]
   [0.28222644 0.5190013  0.30277553]
   [0.50400096 0.9137486  0.6553227 ]
   [0.4896949  0.49090284 0.12742844]
   [0.97004753 0.7744569  0.42857832]
   [0.6477858  0.4499053  0.081698  ]
   [0.64666486 0.4228135  0.32806343]
   [0.6461483  0.4191723  0.21008492]
   [0.8156699  0.5036209  0.03141728]
   [0.75316894 0.47538435 0.12179574]
   [0.7468158  0.4273412  0.07526076]
   [0.68651456 0.34987888 0.04329997]
   [0.78421503 0.28316644 0.05979675]
   [0.7522703  0.27639598 0.0201982 ]]]]"
Image_10026.jpg,sitting,"[[[[0.33772936 0.5081584  0.91255295]
   [0.30696383 0.5254687  0.9152584 ]
   [0.30302742 0.477511   0.90835714]
   [0.30018127 0.5091786  0.5876798 ]
   [0.28896967 0.40243638 0.6249015 ]
   [0.39815193 0.55474293 0.6737567 ]
   [0.4164296  0.31340155 0.8298065 ]
   [0.6117789  0.58687055 0.72256106]
   [0.6890589  0.30919433 0.91061455]
   [0.45023763 0.52110726 0.61966777]
   [0.70777196 0.45739266 0.7904031 ]
   [0.7461523  0.5325355  0.57736623]
   [0.7800901  0.3764955  0.85691   ]
   [0.5883874  0.79288495 0.71837837]
   [0.6559868  0.6985513  0.39749005]
   [0.6856884  0.66732776 0.0259445 ]
   [0.80183345 0.9918264  0.04186562]]]]"
Image_10038.jpg,running,"[[[[0.24205795 0.30509615 0.73363435]
   [0.23132999 0.30655485 0.7672793 ]
   [0.23245561 0.2959442  0.51204103]
   [0.22711554 0.28711227 0.7091755 ]
   [0.23009911 0.26313633 0.65409446]
   [0.27390835 0.31316525 0.7995282 ]
   [0.2837918  0.20935328 0.57367915]
   [0.3356497  0.3271212  0.61195236]
   [0.34440544 0.1332518  0.52695316]
   [0.3951839  0.33989    0.7531246 ]
   [0.42927557 0.18090722 0.7751751 ]
   [0.43789455 0.2626539  0.6697195 ]
   [0.43421334 0.21036476 0.5454341 ]
   [0.5581756  0.25435284 0.6591999 ]
   [0.5604879  0.27458027 0.6049592 ]
   [0.62152696 0.15363443 0.60936564]
   [0.68511885 0.24196176 0.8509758 ]]]]"
Image_10053.jpg,sitting,"[[[[0.4456299  0.4531699  0.6090552 ]
   [0.4322767  0.4690335  0.6656903 ]
   [0.43007988 0.4402243  0.68000454]
   [0.43747088 0.49531204 0.6540363 ]
   [0.43244547 0.43108854 0.62604237]
   [0.4977186  0.51623595 0.60516226]
   [0.47158766 0.398636   0.69861627]
   [0.46488437 0.58391875 0.44249186]
   [0.4912498  0.30045822 0.6194227 ]
   [0.5159132  0.4862408  0.11314869]
   [0.48632774 0.361375   0.3787111 ]
   [0.6606191  0.49120283 0.20278144]
   [0.6672982  0.43150738 0.4417853 ]
   [0.5319968  0.5332396  0.31646243]
   [0.5314497  0.5115176  0.20984417]
   [0.67937607 0.5863389  0.18316609]
   [0.7354905  0.6628216  0.49854457]]]]"
Image_10054.jpg,running,"[[[[0.19289345 0.4098665  0.78782606]
   [0.17874365 0.42430294 0.7846776 ]
   [0.17723443 0.42371798 0.77338624]
   [0.19692856 0.45893157 0.89301515]
   [0.19430718 0.4556407  0.808586  ]
   [0.27448323 0.4651552  0.8633665 ]
   [0.26619068 0.47546571 0.6601166 ]
   [0.37902462 0.486833   0.4233644 ]
   [0.3769801  0.49832982 0.3691609 ]
   [0.33099404 0.34248468 0.8151129 ]
   [0.3703391  0.43597245 0.13266423]
   [0.50548434 0.48806134 0.84176385]
   [0.49671125 0.5077658  0.7050146 ]
   [0.6464083  0.36844563 0.86293447]
   [0.65613973 0.58018845 0.8502128 ]
   [0.81863713 0.30171257 0.8876394 ]
   [0.71644604 0.7528042  0.6960403 ]]]]"
Image_10060.jpg,running,"[[[[0.24378134 0.47400847 0.8342062 ]
   [0.2338773  0.4843861  0.44572327]
   [0.23561817 0.45983303 0.6566418 ]
   [0.24706693 0.49924684 0.6077428 ]
   [0.25345436 0.44321036 0.6985079 ]
   [0.30976063 0.5471246  0.6432956 ]
   [0.32587984 0.4164233  0.76402044]
   [0.40985996 0.59556407 0.720606  ]
   [0.41093537 0.408783   0.50849646]
   [0.37987435 0.54567975 0.6659899 ]
   [0.4373398  0.40555802 0.5312934 ]
   [0.52534455 0.5308254  0.83849347]
   [0.5253625  0.45525965 0.78807914]
   [0.6596675  0.50068516 0.66062605]
   [0.65638745 0.47804314 0.5453528 ]
   [0.73836505 0.46084    0.2874167 ]
   [0.8332882  0.49280375 0.7695639 ]]]]"
Image_10088.jpg,sitting,"[[[[0.03249344 0.45041257 0.01295161]
   [0.03634968 0.492341   0.01335588]
   [0.04323634 0.44630262 0.00739753]
   [0.01902209 0.5188408  0.03824645]
   [0.01585999 0.4107057  0.02240038]
   [0.03292986 0.574013   0.25987235]
   [0.01361912 0.36484936 0.24169847]
   [0.1641823  0.60372543 0.59504914]
   [0.15193877 0.32638982 0.76795495]
   [0.29827216 0.62616086 0.8101747 ]
   [0.2951713  0.3253661  0.7791923 ]
   [0.2809421  0.54897964 0.73889196]
   [0.28219327 0.40712303 0.6580353 ]
   [0.34630102 0.5164153  0.7401702 ]
   [0.33747312 0.42211837 0.7354947 ]
   [0.6199693  0.5083558  0.9331109 ]
   [0.6239135  0.44679782 0.8176509 ]]]]"
